state,co2_pc_2000,co2_pc_2014,chg,pct_chg
Alabama,31.90000,25.05308,-6.84692,-0.21464
Alaska,70.60000,47.17216,-23.42784,-0.33184
Arizona,16.70000,13.78683,-2.91317,-0.17444
Arkansas,23.80000,23.12775,-0.67225,-0.02825
California,11.20000,9.25528,-1.94472,-0.17364
Colorado,19.50000,16.95371,-2.54629,-0.13058
Connecticut,12.60000,9.76639,-2.83361,-0.22489
Delaware,21.20000,14.23395,-6.96605,-0.32859
District of Columbia,7.50000,4.55341,-2.94659,-0.39288
Florida,14.90000,11.41304,-3.48696,-0.23402
Georgia,20.50000,13.75655,-6.74345,-0.32895
Hawaii,15.50000,12.82231,-2.67769,-0.17275
Idaho,12.10000,10.18349,-1.91651,-0.15839
Illinois,18.80000,18.11844,-0.68156,-0.03625
Indiana,39.10000,30.81062,-8.28938,-0.21200
Iowa,26.50000,26.78053,0.28053,0.01059
Kansas,28.30000,23.96898,-4.33102,-0.15304
Kentucky,36.00000,31.18621,-4.81379,-0.13372
Louisiana,51.40000,44.50065,-6.89935,-0.13423
Maine,17.50000,12.51638,-4.98362,-0.28478
Maryland,14.60000,10.38435,-4.21565,-0.28874
Massachusetts,13.00000,9.48808,-3.51192,-0.27015
Michigan,19.50000,16.29252,-3.20748,-0.16449
Minnesota,19.80000,17.24018,-2.55982,-0.12928
Mississippi,21.60000,21.27724,-0.32276,-0.01494
Missouri,22.40000,21.66230,-0.73770,-0.03293
Montana,34.70000,31.50322,-3.19678,-0.09213
Nebraska,24.20000,27.50747,3.30747,0.13667
Nevada,22.50000,13.02347,-9.47653,-0.42118
New Hampshire,14.10000,11.25027,-2.84973,-0.20211
New Jersey,14.70000,12.77743,-1.92257,-0.13079
New Mexico,31.90000,24.07485,-7.82515,-0.24530
New York,11.20000,8.60580,-2.59420,-0.23163
North Carolina,18.40000,12.63557,-5.76443,-0.31328
North Dakota,79.20000,74.80646,-4.39354,-0.05547
Ohio,23.40000,19.75502,-3.64498,-0.15577
Oklahoma,29.00000,26.91916,-2.08084,-0.07175
Oregon,12.00000,9.55666,-2.44334,-0.20361
Pennsylvania,22.60000,18.93574,-3.66426,-0.16214
Rhode Island,11.20000,10.08652,-1.11348,-0.09942
South Carolina,20.30000,15.39348,-4.90652,-0.24170
South Dakota,18.70000,17.90948,-0.79052,-0.04227
Tennessee,22.40000,15.69307,-6.70693,-0.29942
Texas,31.10000,26.29414,-4.80586,-0.15453
Utah,29.00000,21.89777,-7.10223,-0.24490
Vermont,11.00000,9.37960,-1.62040,-0.14731
Virginia,17.30000,12.42003,-4.87997,-0.28208
Washington,14.10000,10.40162,-3.69838,-0.26230
West Virginia,63.60000,52.47199,-11.12801,-0.17497
Wisconsin,20.10000,17.46803,-2.63197,-0.13094
Wyoming,127.80000,111.55071,-16.24929,-0.12715
United States,20.70000,17.00000,-3.70000,-0.17874
