State,GDP_chg_0014,CO2_chg_0014,CO2_2000,CO2_2001,CO2_2002,CO2_2003,CO2_2004,CO2_2005,CO2_2006,CO2_2007,CO2_2008,CO2_2009,CO2_2010,CO2_2011,CO2_2012,CO2_2013,CO2_2014,GDP_2000,GDP_2001,GDP_2002,GDP_2003,GDP_2004,GDP_2005,GDP_2006,GDP_2007,GDP_2008,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014
 Alabama,0.19816,-0.12866,139.43085,131.07200,136.00933,136.89283,139.25457,140.80837,143.27540,144.88931,137.28927,118.35624,130.73150,128.03618,121.49982,119.20094,121.49181,150090.00000,151486.00000,155529.00000,159304.00000,168458.00000,173137.00000,175488.00000,175903.00000,175402.00000,169586.00000,173378.00000,175012.00000,176777.00000,178205.00000,179832.00000
 Alaska,0.37685,-0.20744,43.84918,42.88788,43.02685,43.15166,46.38787,47.67913,45.53408,43.81784,39.22605,37.44981,38.31122,38.17727,37.66989,35.89855,34.75324,36046.00000,37598.00000,38647.00000,38366.00000,40016.00000,41026.00000,43672.00000,45851.00000,46447.00000,50514.00000,49743.00000,51471.00000,54311.00000,51421.00000,49630.00000
 Arizona,0.27752,0.08137,85.82238,88.16904,87.55230,89.36892,96.33125,96.43761,99.65436,101.58521,101.93383,93.12477,94.92090,92.98460,91.01455,94.81340,92.80586,202536.00000,207024.00000,212543.00000,224621.00000,232702.00000,250829.00000,265391.00000,272605.00000,264831.00000,243102.00000,244748.00000,248828.00000,253933.00000,254141.00000,258744.00000
 Arkansas,0.28687,0.08723,63.10110,62.26507,60.97522,61.71656,62.07099,59.90822,61.77673,63.08784,63.94031,61.27670,65.59607,67.00723,65.80234,68.09535,68.60544,85869.00000,85817.00000,88341.00000,92078.00000,96297.00000,99036.00000,102038.00000,102235.00000,102833.00000,100098.00000,103285.00000,105392.00000,105448.00000,108204.00000,110502.00000
 California,0.28181,-0.06282,383.19880,387.36285,386.28687,374.52334,393.35702,390.95663,399.06069,404.31332,386.64589,372.26841,366.18354,352.88111,358.17102,361.54397,359.12797,1653021.00000,1647632.00000,1688390.00000,1756127.00000,1829371.00000,1902194.00000,1963442.00000,1994044.00000,2002744.00000,1913674.00000,1931514.00000,1958105.00000,2004400.00000,2055578.00000,2118858.00000
 Colorado,0.27493,0.07846,84.19571,92.04841,90.37919,89.36398,92.05780,94.40444,95.17000,98.07874,96.29215,92.45773,94.60453,91.09315,89.86715,90.67548,90.80179,218698.00000,222378.00000,223663.00000,225705.00000,229823.00000,240150.00000,244218.00000,249295.00000,252925.00000,250082.00000,253406.00000,256338.00000,262427.00000,267858.00000,278825.00000
 Connecticut,0.10614,-0.17738,42.70102,41.50802,40.01497,42.64748,44.50190,43.79369,40.79694,40.09586,37.70893,35.99550,36.29069,34.94269,34.21148,35.05322,35.12655,206960.00000,208946.00000,208127.00000,212016.00000,225775.00000,229510.00000,237075.00000,246068.00000,237127.00000,226076.00000,228211.00000,226534.00000,227085.00000,226209.00000,228927.00000
 Delaware,0.16918,-0.20043,16.65576,15.99606,15.86295,16.51207,16.50966,17.31021,16.15781,17.03384,16.12592,11.88300,11.91472,12.97831,13.93363,13.58388,13.31748,50338.00000,51224.00000,49985.00000,52240.00000,55670.00000,56587.00000,58029.00000,57563.00000,54222.00000,56374.00000,56730.00000,57741.00000,57146.00000,56443.00000,58854.00000
 District Of Columbia,0.31732,-0.30335,4.30663,4.08800,4.19004,3.93816,4.01648,3.93438,3.19248,3.38841,3.09401,3.18647,3.23337,3.10002,2.66609,2.87619,3.00021,79944.00000,83834.00000,86011.00000,88143.00000,91569.00000,92994.00000,94943.00000,97228.00000,100104.00000,98938.00000,101904.00000,103820.00000,103804.00000,103430.00000,105312.00000
 Florida,0.24267,-0.04074,236.68628,235.42359,239.12261,243.25503,254.54372,257.93844,256.77451,254.56065,236.92344,222.99668,240.54897,227.73761,221.74212,220.90775,227.04293,616284.00000,633522.00000,658520.00000,686354.00000,724792.00000,773073.00000,799957.00000,803119.00000,770159.00000,721928.00000,722295.00000,717109.00000,729727.00000,746585.00000,765840.00000
